啊不	à,bù
吖啶	ā,
阿斗	ā,dǒu
啊哈	ā,hā
啊呀	ā,yā
啊哟	ā,yō
腌臜	ā,
挨打	ái,dǎ
挨饿	ái,
爱好	,hào
哀号	,háo
瑷珲	,huī
爱将	,jiàng
挨骂	ái,
挨批	ái,
艾什	ài,shí
挨踢	ái,
爱恶	,wù
哎呀	,yā
爱乐	,yuè
哀乐	,yuè
挨整	ái,
挨揍	ái,
安柏	,bó
安得	,dé
暗调	,diào
安分	,fèn
按行	,háng
案几	,jī
案卷	,juàn
拗口	ào,
拗折	ǎo,shé
奥什	ào,shí
㞎㞎	bǎ,ba
八重	,chóng
吧嗒	bā,dā
八斗	,dǒu
八行	,háng
吧唧	bā,
八将	,jiàng
巴结	,jie
吧台	bā,tái
八宿	,xiǔ
八一	,yī
把一	bǎ,yī
八载	,zǎi
八只	,zhī
八爪	,zhuǎ
把子	bà,
拜拜	bái,bái
百辟	,bì
百石	,dàn
拜倒	bài,dǎo
百得	,dé
白发	,fà
百行	,háng
㓦划	,hua
败将	,jiàng
白卷	,juàn
摆擂	,lèi
白切	,qiē
白参	,shēn
百乘	,shèng
白相	,xiàng
败兴	,xìng
百只	,zhī
百中	,zhòng
白术	,zhú
伯子	bǎi,
办差	,chāi
绊倒	,dǎo
扳倒	,dǎo
半调	,diào
半行	,háng
拌和	bàn,huò
半拉	,lǎ
扮相	,xiàng
半血	,xiě
半宿	,xiǔ
半载	,zǎi
班长	,zhǎng
半只	,zhī
彭彭	bāng,bāng
棒喝	,hè
榜一	bǎng,yī
刨冰	bào,
宝刹	,chà
剥除	bāo,
宝幢	,chuáng
刨床	bào,
刨刀	bào,
爆肚	,dǔ
包干	,gān
刨光	bào,
刨花	bào,
宝卷	,juàn
剥壳	bāo,ké
瀑流	bào,
剥皮	bāo,
刨平	bào,
抱朴	,pú
薄切	báo,qiē
剥取	bāo,
报丧	,sāng
剥脱	bāo,
包扎	,zā
报载	,zǎi
宝藏	,zàng
保长	,zhǎng
刨子	bào,
宝钻	,zuàn
背包	bēi,
北埔	běi,bù
背带	bēi,
背到	bēi,
背调	bèi,diào
北调	běi,diào
北斗	běi,dǒu
背负	bēi,
焙干	,gān
背筐	bēi,
背来	bēi,
背篓	bēi,
被曝	bèi,pù
背起	bēi,
被切	bèi,qiē
碑帖	,tiè
悲咽	,yān
北栅	běi,zhà
背债	bēi,
本处	,chǔ
本分	,fèn
本行	,háng
奔命	bèn,
奔丧	bēn,sāng
奔头	bèn,
本相	,xiàng
本一	,yī
本应	,yīng
蚌埠	bèng,
甭价	,jie
蚌山	bèng,
鄙薄	,bó
必得	,dé
笔调	,diào
笔杆	,gǎn
鼻干	,gān
吡咯	bǐ,gē
逼供	,gòng
辟谷	bì,
璧还	,huán
闭卷	,juàn
比量	,liáng
秘鲁	bì,
避难	,nàn
荸荠	,qi
闭塞	,sè
逼肖	,xiào
辟邪	bì,xié
鼻血	,xiě
比兴	,xìng
鼻咽	,yān
泌阳	bì,
辟易	bì,
