阿	ā
拜	bài
北	běi
扁	biǎn
伯	bó
啊	a
不	bù
大	dà
呆	dāi
弟	dì
丁	dīng
吖	yā
斗	dòu
发	fā
给	gěi
哈	hā
好	hǎo
红	hóng
华	huá
拉	lā
郎	láng
勒	lè
乐	lè
丽	lì
瞒	mán
猫	māo
蒙	méng
咪	mī
娜	nà
南	nán
难	nán
宁	níng
片	piàn
奇	qí
齐	qí
强	qiáng
悄	qiāo
省	shěng
衰	shuāi
苏	sū
汤	tāng
系	xì
信	xìn
兴	xīng
呀	ya
燕	yàn
叶	yè
哟	yō
语	yǔ
腌	yān
仔	zǎi
泽	zé
扎	zhā
正	zhèng
中	zhōng
朱	zhū
艾	ài
吧	ba
挨	āi
藏	cáng
车	chē
称	chēng
打	dǎ
的	de
得	de
地	dì
都	dōu
读	dú
菲	fēi
妃	fēi
干	gàn
岗	gǎng
个	gè
柜	guì
过	guò
嗨	hāi
号	hào
喝	hē
化	huà
珲	hún
家	jiā
将	jiāng
教	jiào
看	kàn
了	le
隆	lóng
露	lù
绿	lǜ
吗	ma
欸	ǎi
鸟	niǎo
女	nǚ
胖	pàng
跑	pǎo
喷	pēn
妻	qī
嗳	ài
其	qí
若	ruò
塞	sāi
色	sè
莎	shā
上	shàng
什	shén
谁	shuí
说	shuō
思	sī
她	tā
提	tí
条	tiáo
跳	tiào
恶	è
校	xiào
要	yào
媛	yuàn
咋	zǎ
着	zhe
症	zhèng
知	zhī
轴	zhóu
堡	bǎo
柏	bǎi
查	chá
场	chǎng
处	chù
鹑	chún
答	dá
倒	dào
底	dǐ
调	tiáo
度	dù
份	fèn
分	fēn
杆	gān
钢	gāng
杠	gàng
还	hái
行	xíng
合	hé
几	jǐ
价	jià
监	jiān
间	jiān
角	jiǎo
揭	jiē
解	jiě
卷	juǎn
可	kě
啦	la
量	liàng
陆	lù
纶	lún
们	men
摩	mó
内	nèi
能	néng
排	pái
炮	pào
期	qī
骑	qí
亲	qīn
渠	qú
区	qū
沙	shā
盛	shèng
适	shì
石	shí
熟	shú
踏	tà
台	tái
通	tōng
王	wáng
纹	wén
县	xiàn
详	xiáng
巷	xiàng
许	xǔ
压	yā
哑	yǎ
涌	yǒng
有	yǒu
远	yuǎn
约	yuē
这	zhè
转	zhuǎn
刺	cì
撒	sā
脏	zāng
凹	āo
熬	áo
奥	ào
创	chuàng
洞	dòng
拗	ǎo
风	fēng
骨	gǔ
广	guǎng
奧	ào
秘	mì
丧	sàng
折	zhé
氏	shì
数	shù
体	tǐ
拓	tuò
虾	xiā
粥	zhōu
兹	zī
把	bǎ
㞎	ba
榜	bǎng
别	bié
罢	bà
钯	bǎ
厂	chǎng
扒	bā
尺	chǐ
重	zhòng
嗒	dā
钉	dīng
毒	dú
番	fān
坊	fāng
嘎	gā
核	hé
横	héng
荠	jì
结	jié
节	jié
景	jǐng
句	jù
卡	kǎ
凉	liáng
六	liù
脉	mài
那	nà
尿	niào
弄	nòng
屏	píng
圈	quān
拾	shí
识	shí
万	wàn
尾	wěi
戏	xì
休	xiū
宿	sù
一	yì
椅	yǐ
载	zài
咱	zán
占	zhàn
只	zhǐ
种	zhǒng
爪	zhǎo
纵	zòng
般	bān
臂	bì
辟	pì
佛	fó
服	fú
感	gǎn
鲑	guī
虹	hóng
划	huà
坏	huài
会	huì
济	jì
祭	jì
见	jiàn
净	jìng
蜡	là
腊	là
擂	léi
令	lìng
落	luò
泥	ní
嫖	piáo
票	piào
朴	pǔ
浅	qiǎn
切	qiè
蛇	shé
参	cān
乘	chéng
食	shí
苔	tái
亡	wáng
为	wéi
无	wú
相	xiāng
选	xuǎn
血	xuè
羊	yáng
雨	yǔ
枝	zhī
术	shù
磅	bàng
侧	cè
差	chà
禅	chán
拌	bàn
副	fù
和	hé
空	kōng
靓	liàng
漂	piāo
扇	shàn
刷	shuā
同	tóng
瓦	wǎ
委	wěi
予	yǔ
员	yuán
长	cháng
筑	zhù
庄	zhuāng
作	zuò
彭	péng
膀	bǎng
臭	chòu
单	dān
蚌	bàng
壳	ké
佣	yōng
助	zhù
暴	bào
薄	báo
被	bèi
刨	páo
勃	bó
刹	shā
仇	chóu
剥	bō
幢	zhuàng
弹	dàn
坻	dǐ
肚	dù
兑	duì
盖	gài
供	gōng
冠	guān
曝	bào
汗	hàn
夹	jiā
浆	jiāng
降	jiàng
禁	jìn
经	jīng
括	kuò
裂	liè
瀑	pù
论	lùn
络	luò
率	lǜ
埋	mái
囊	náng
厦	shà
射	shè
圣	shèng
哇	wa
鲜	xiān
些	xiē
芯	xīn
研	yán
耶	yé
饮	yǐn
应	yìng
炸	zhà
涨	zhǎng
著	zhù
卒	zú
钻	zuān
背	bèi
奔	bēn
埔	pǔ
拆	chāi
朝	cháo
嘲	cháo
陂	bēi
传	chuán
逮	dǎi
挡	dǎng
当	dāng
缝	fèng
否	fǒu
夫	fū
港	gǎng
葛	gé
观	guān
疆	jiāng
碣	jié
拘	jū
觉	jué
夸	kuā
岭	lǐng
频	pín
迫	pò
圻	qí
茜	qiàn
抢	qiǎng
曲	qǔ
摄	shè
帖	tiē
屯	tún
吓	xià
削	xuē
咽	yàn
疑	yí
择	zé
栅	shān
召	zhào
拽	zhuāi
追	zhuī
贲	bēn
纪	jì
券	quàn
属	shǔ
硕	shuò
跶	da
绷	bēng
祊	bēng
溅	jiàn
溃	kuì
犴	àn
澄	chéng
冲	chōng
从	cóng
吡	bǐ
咯	lo
荷	hé
糊	hú
尽	jìn
哩	lī
臑	nào
仆	pú
趋	qū
少	shǎo
填	tián
洗	xǐ
肖	xiāo
邪	xié
泌	mì
裨	bì
荫	yīn
便	biàn
采	cǎi
卞	biàn
担	dān
更	gèng
棱	léng
溺	nì
梃	tǐng
与	yǔ
织	zhī
瘪	biě
吵	chǎo
闷	mèn
孙	sūn
挑	tiāo
沾	zhān
槟	bīn
玢	bīn
并	bìng
曾	céng
碴	chá
铛	dang
镐	gǎo
龟	guī
棍	gùn
假	jiǎ
菌	jūn
溜	liū
没	méi
旁	páng
且	qiě
戌	xū
泊	pō
父	fù
卜	bo
颈	jǐng
擘	bò
簸	bǒ
缴	jiǎo
磨	mó
散	sàn
纤	xiān
簿	bù
啻	chì
揣	chuǎi
待	dài
惮	dàn
甸	diān
卟	bǔ
冯	féng
哄	hǒng
混	hùn
嚼	jué
仅	jǐn
吭	kēng
累	lèi
猎	liè
啉	lín
冒	mào
哦	ó
泡	pào
铺	pù
翘	qiào
阙	quē
洒	sǎ
扫	sǎo
骚	sāo
膻	shān
舍	shě
甚	shèn
似	sì
遂	suì
缩	suō
吐	tǔ
囤	dùn
遗	yí
愉	yú
晕	yūn
粘	zhān
嚓	chā
抹	mǒ
蟒	mǎng
苹	píng
脯	pú
掺	chān
叉	chā
蛾	é
颉	jié
劲	jìn
哪	nǎ
畜	chù
垛	duò
芥	jiè
模	mó
禺	yú
亨	hēng
隐	yǐn
𤭢	cèi
隶	lì
任	rèn
匙	shi
峒	dòng
膏	gāo
缉	jī
嘛	ma
杈	chā
爿	pán
颤	chàn
刬	chǎn
趣	qù
孱	chán
倡	chàng
呗	bei
棣	dì
芦	lú
吁	xū
嘘	xū
倘	tǎng
晁	cháo
嚷	rǎng
焯	chāo
谌	chén
沈	shěn
砌	qì
铅	qiān
皋	gāo
蹊	xī
喽	lóu
瘈	chì
呢	ne
鞘	qiào
龈	yín
责	zé
估	gū
淋	lín
仰	yǎng
豸	zhì
缪	móu
褚	chǔ
笼	lóng
趟	tàng
巛	chuān
咳	ké
椎	zhuī
拂	fú
淳	chún
绰	chuò
啜	chuò
呲	cī
伺	cì
何	hé
枞	cōng
徕	lái
攒	zǎn
澹	dàn
啐	cuì
撮	cuō
综	zōng
敦	dūn
勾	gōu
贾	jiǎ
夯	hāng
